東京都　放課後児童健全育成事業（学童クラブ事業）実施状況（令和７年１０月１日現在）,,,,,,,,,,,
,,,,,,,,,,,
, ,,,（こども家庭庁成育局成育環境課実施調査に基づく）,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,(単位：か所、人）,
,区名,クラブ数,登録児童数,待機児童数,,,市町村名,クラブ数,登録児童数,待機児童数,
,,,,,,,,,,,
1,千代田区,27,1290,0,,24,八王子市,91,6533,0,
2,中央区,31,1284,201,,25,立川市,39,1820,83,
3,港区,37,3353,19,,26,武蔵野市,17,1716,0,
4,新宿区,34,2303,24,,27,三鷹市,35,2334,0,
5,文京区,68,2678,39,,28,青梅市,40,1422,21,
6,台東区,28,1529,32,,29,府中市,54,2580,49,
7,墨田区,78,3172,9,,30,昭島市,24,1310,49,
8,江東区,64,5149,6,,31,調布市,49,2936,16,
9,品川区,37,3318,0,,32,町田市,49,4911,0,
10,目黒区,48,2499,189,,33,小金井市,11,1557,3,
11,大田区,86,5433,2,,34,小平市,50,2605,0,
12,世田谷区,73,9268,0,,35,日野市,29,2285,0,
13,渋谷区,18,3815,0,,36,東村山市,29,1772,0,
14,中野区,42,2269,0,,37,国分寺市,36,2068,0,
15,杉並区,59,6107,68,,38,国立市,22,923,0,
16,豊島区,22,2344,0,,39,福生市,12,589,0,
17,北区,96,3539,0,,40,狛江市,17,1051,89,
18,荒川区,28,1820,0,,41,東大和市,13,825,43,
19,板橋区,51,8073,0,,42,清瀬市,11,883,2,
20,練馬区,102,6884,40,,43,東久留米市,19,1480,14,
21,足立区,114,5235,130,,44,武蔵村山市,13,714,15,
22,葛飾区,92,4844,168,,45,多摩市,30,1740,66,
23,江戸川区,72,6062,0,,46,稲城市,16,981,54,
,区計,"1,307","92,268",927,,47,羽村市,12,637,0,
,,,,,,48,あきる野市,11,1091,0,
,,,,,,49,西東京市,36,2729,117,
,,,,,,50,瑞穂町,6,303,0,
,,,,,,51,日の出町,5,201,0,
,,,,,,52,檜原村,0,0,0,
,,,,,,53,奥多摩町,2,57,0,
,,,,,,54,大島町,2,38,0,
,,,,,,55,利島村,1,21,0,
,,,,,,56,新島村,0,0,0,
,,,,,,57,神津島村,1,17,0,
,,,,,,58,三宅村,1,83,0,
,,,,,,59,御蔵島村,0,0,0,
,,,,,,60,八丈町,3,100,0,
,,,,,,61,青ヶ島村,0,0,0,
,,,,,,62,小笠原村,0,0,0,
,,,,,,　,市町村計,786,"50,312",621,
,,,,,,,,,,,
,,,,,,,,クラブ数,登録児童数,待機児童数,
,,,,,,,総計,"2,093","142,580","1,548",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
