as_of,muni_code,muni_name,clubs,registered_children,waiting_children
2023-05-01,13101,千代田区,25,1261,0
2023-05-01,13102,中央区,15,774,257
2023-05-01,13103,港区,36,3371,95
2023-05-01,13104,新宿区,32,2241,27
2023-05-01,13105,文京区,53,2609,76
2023-05-01,13106,台東区,24,1389,179
2023-05-01,13107,墨田区,72,2964,45
2023-05-01,13108,江東区,63,4935,117
2023-05-01,13109,品川区,37,2979,0
2023-05-01,13110,目黒区,46,2387,114
2023-05-01,13111,大田区,85,5213,112
2023-05-01,13112,世田谷区,63,9210,0
2023-05-01,13113,渋谷区,18,3349,0
2023-05-01,13114,中野区,42,2071,83
2023-05-01,13115,杉並区,57,5907,257
2023-05-01,13116,豊島区,22,2823,0
2023-05-01,13117,北区,87,3435,0
2023-05-01,13118,荒川区,27,1789,0
2023-05-01,13119,板橋区,51,7946,0
2023-05-01,13120,練馬区,99,6427,292
2023-05-01,13121,足立区,109,5118,263
2023-05-01,13122,葛飾区,93,4902,328
2023-05-01,13123,江戸川区,4,141,0
2023-05-01,13201,八王子市,90,6423,0
2023-05-01,13202,立川市,38,1941,212
2023-05-01,13203,武蔵野市,17,1684,0
2023-05-01,13204,三鷹市,34,2289,0
2023-05-01,13205,青梅市,40,1498,76
2023-05-01,13206,府中市,48,2497,26
2023-05-01,13207,昭島市,21,1261,95
2023-05-01,13208,調布市,45,2719,118
2023-05-01,13209,町田市,50,4785,12
2023-05-01,13210,小金井市,20,1517,0
2023-05-01,13211,小平市,46,2519,17
2023-05-01,13212,日野市,46,2292,7
2023-05-01,13213,東村山市,29,1721,46
2023-05-01,13214,国分寺市,34,1786,0
2023-05-01,13215,国立市,22,953,0
2023-05-01,13218,福生市,12,640,0
2023-05-01,13219,狛江市,18,1017,124
2023-05-01,13220,東大和市,13,829,39
2023-05-01,13221,清瀬市,11,857,36
2023-05-01,13222,東久留米市,19,1448,84
2023-05-01,13223,武蔵村山市,13,774,0
2023-05-01,13224,多摩市,30,1777,97
2023-05-01,13225,稲城市,16,958,139
2023-05-01,13227,羽村市,12,623,0
2023-05-01,13228,あきる野市,17,1006,87
2023-05-01,13229,西東京市,36,2706,63
2023-05-01,13303,瑞穂町,6,321,1
2023-05-01,13305,日の出町,5,257,0
2023-05-01,13307,檜原村,0,0,0
2023-05-01,13308,奥多摩町,2,52,0
2023-05-01,13361,大島町,2,38,0
2023-05-01,13362,利島村,1,16,0
2023-05-01,13363,新島村,0,0,0
2023-05-01,13364,神津島村,1,27,0
2023-05-01,13381,三宅村,1,73,0
2023-05-01,13382,御蔵島村,0,0,0
2023-05-01,13401,八丈町,3,103,0
2023-05-01,13402,青ヶ島村,0,0,0
2023-05-01,13421,小笠原村,0,0,0
2025-05-01,13101,千代田区,27,1304,0
2025-05-01,13102,中央区,31,1291,275
2025-05-01,13103,港区,37,3331,36
2025-05-01,13104,新宿区,34,2371,26
2025-05-01,13105,文京区,68,2780,68
2025-05-01,13106,台東区,28,1576,54
2025-05-01,13107,墨田区,77,3204,18
2025-05-01,13108,江東区,64,5288,13
2025-05-01,13109,品川区,37,3484,0
2025-05-01,13110,目黒区,48,2558,246
2025-05-01,13111,大田区,86,5689,155
2025-05-01,13112,世田谷区,73,9577,0
2025-05-01,13113,渋谷区,18,3679,0
2025-05-01,13114,中野区,42,2295,0
2025-05-01,13115,杉並区,59,6301,481
2025-05-01,13116,豊島区,22,2506,0
2025-05-01,13117,北区,95,3639,0
2025-05-01,13118,荒川区,28,1864,0
2025-05-01,13119,板橋区,51,8015,0
2025-05-01,13120,練馬区,102,6948,47
2025-05-01,13121,足立区,114,5383,179
2025-05-01,13122,葛飾区,92,5075,227
2025-05-01,13123,江戸川区,72,6623,0
2025-05-01,13201,八王子市,91,6656,0
2025-05-01,13202,立川市,38,1878,219
2025-05-01,13203,武蔵野市,17,1761,0
2025-05-01,13204,三鷹市,35,2435,0
2025-05-01,13205,青梅市,40,1515,64
2025-05-01,13206,府中市,54,2703,43
2025-05-01,13207,昭島市,24,1369,56
2025-05-01,13208,調布市,49,3086,60
2025-05-01,13209,町田市,49,5246,63
2025-05-01,13210,小金井市,11,1664,21
2025-05-01,13211,小平市,50,2696,0
2025-05-01,13212,日野市,29,2295,0
2025-05-01,13213,東村山市,29,1842,158
2025-05-01,13214,国分寺市,36,2052,0
2025-05-01,13215,国立市,22,989,0
2025-05-01,13218,福生市,12,634,0
2025-05-01,13219,狛江市,17,1082,116
2025-05-01,13220,東大和市,13,856,71
2025-05-01,13221,清瀬市,11,913,96
2025-05-01,13222,東久留米市,19,1543,147
2025-05-01,13223,武蔵村山市,13,752,74
2025-05-01,13224,多摩市,30,1805,119
2025-05-01,13225,稲城市,16,1010,141
2025-05-01,13227,羽村市,12,669,0
2025-05-01,13228,あきる野市,11,1185,9
2025-05-01,13229,西東京市,36,2976,70
2025-05-01,13303,瑞穂町,6,320,8
2025-05-01,13305,日の出町,5,222,0
2025-05-01,13307,檜原村,0,0,0
2025-05-01,13308,奥多摩町,2,59,0
2025-05-01,13361,大島町,2,38,0
2025-05-01,13362,利島村,1,16,0
2025-05-01,13363,新島村,0,0,0
2025-05-01,13364,神津島村,1,16,0
2025-05-01,13381,三宅村,1,81,0
2025-05-01,13382,御蔵島村,0,0,0
2025-05-01,13401,八丈町,3,100,0
2025-05-01,13402,青ヶ島村,0,0,0
2025-05-01,13421,小笠原村,0,0,0
2025-10-01,13101,千代田区,27,1290,0
